         city_name         | state_name |                      airline_name                       | passengers 
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        799
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       9290
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       3383
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        605
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        119
 Montrose/Delta, CO        | Colorado   | ExpressJet Airlines Inc.                                |        916
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        409
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |       7029
 Denver, CO                | Colorado   | American Airlines Inc.                                  |       9410
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |        445
 Aspen, CO                 | Colorado   | SkyWest Airlines Inc.                                   |       7698
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |          4
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       1101
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       4866
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        254
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       3647
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       3552
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        850
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |      22682
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1532
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       3095
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       1806
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1495
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |        148
 Aspen, CO                 | Colorado   | SkyWest Airlines Inc.                                   |        696
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       2769
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      13559
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       3366
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       3362
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       6427
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        497
 Aspen, CO                 | Colorado   | SkyWest Airlines Inc.                                   |        893
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       3148
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       2496
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       3526
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        802
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       4247
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       8093
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        994
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        106
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |      21654
 Montrose/Delta, CO        | Colorado   | Mesa Airlines Inc.                                      |       1648
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        555
 Colorado Springs, CO      | Colorado   | SkyWest Airlines Inc.                                   |       1487
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        706
 Denver, CO                | Colorado   | American Airlines Inc.                                  |       3163
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       4719
 Denver, CO                | Colorado   | Trans States Airlines                                   |       2200
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |        265
 Denver, CO                | Colorado   | Swift Air, LLC                                          |         45
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        828
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       1157
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        180
 Denver, CO                | Colorado   | Via Airlines d/b/a Charter Air Transport                |        344
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       1462
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        762
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |         62
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       1855
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        356
 Grand Junction, CO        | Colorado   | Compass Airlines                                        |        126
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       4551
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        374
 Denver, CO                | Colorado   | Trans States Airlines                                   |        185
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        299
 Colorado Springs, CO      | Colorado   | Trans States Airlines                                   |        801
 Denver, CO                | Colorado   | American Airlines Inc.                                  |       8618
 Denver, CO                | Colorado   | American Airlines Inc.                                  |         62
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       5164
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2185
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1860
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |         48
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        128
 Denver, CO                | Colorado   | United Parcel Service                                   |          0
 Denver, CO                | Colorado   | Republic Airlines                                       |        400
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2543
 Aspen, CO                 | Colorado   | SkyWest Airlines Inc.                                   |       2245
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       7746
 Colorado Springs, CO      | Colorado   | Delta Air Lines Inc.                                    |       4155
 Colorado Springs, CO      | Colorado   | Miami Air International                                 |          0
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        133
 Denver, CO                | Colorado   | Alaska Airlines Inc.                                    |       4548
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       4400
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2485
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       5318
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       4906
 Denver, CO                | Colorado   | JetBlue Airways                                         |       7713
 Denver, CO                | Colorado   | Boutique Air                                            |          6
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       1849
 Denver, CO                | Colorado   | American Airlines Inc.                                  |        483
 Pueblo, CO                | Colorado   | Great Lakes Airlines                                    |          5
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       1062
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       3543
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        137
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2082
 Cortez, CO                | Colorado   | Boutique Air                                            |        117
 Denver, CO                | Colorado   | American Airlines Inc.                                  |        876
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2539
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2389
 Montrose/Delta, CO        | Colorado   | Envoy Air                                               |        146
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        164
 Grand Junction, CO        | Colorado   | Allegiant Air                                           |        921
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        141
 Denver, CO                | Colorado   | American Airlines Inc.                                  |         74
 Colorado Springs, CO      | Colorado   | SkyWest Airlines Inc.                                   |          0
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1111
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |        523
